Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for UK
Areal series, starting in 1884
Last updated 03-Nov-2020 09:37
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1946    5.4    7.5    8.2   13.2   14.2   15.9   18.7   17.2   16.0   11.8    9.6    5.5    6.65   11.86   17.29   12.44   11.94
1947    4.3    0.1    5.3   11.0   16.2   17.9   19.3   22.7   17.6   13.8    9.0    6.8    3.41   10.81   20.00   13.45   12.07
1948    6.4    6.6   11.7   12.2   15.2   16.2   18.3   17.2   16.0   12.4    9.7    7.6    6.56   13.05   17.23   12.72   12.47
1949    7.4    8.2    7.9   12.7   14.5   18.6   20.4   19.7   18.8   14.0    8.7    7.3    7.72   11.67   19.55   13.84   13.20
1950    6.2    7.1   10.3   10.2   14.3   19.1   18.7   18.4   15.0   11.9    7.5    3.0    6.90   11.61   18.71   11.47   11.84
1951    5.3    5.3    6.3    9.5   12.8   17.0   19.0   17.3   16.5   12.8   10.0    7.5    4.53    9.53   17.76   13.06   11.63
1952    4.4    5.9    8.6   12.7   16.1   16.8   19.3   18.4   13.6   11.3    6.2    5.3    5.93   12.50   18.19   10.36   11.58
1953    5.7    6.7    9.7   10.3   15.7   17.1   17.9   18.9   16.6   12.7   10.1    8.5    5.87   11.91   17.97   13.14   12.52
1954    5.0    4.6    8.0   11.2   14.3   15.9   16.4   16.8   15.1   13.5    9.0    8.1    6.09   11.16   16.37   12.53   11.53
1955    4.3    3.2    6.3   12.6   12.7   16.5   21.3   21.2   17.2   12.0    9.4    7.4    5.28   10.50   19.70   12.88   12.07
1956    5.4    3.0    8.9   10.2   15.4   15.9   18.0   15.9   16.4   12.1    8.4    7.6    5.31   11.53   16.61   12.28   11.46
1957    7.4    7.0   11.1   11.9   13.9   19.0   18.4   17.7   14.6   13.1    8.3    6.7    7.34   12.30   18.36   11.98   12.45
1958    5.5    6.6    5.8   10.4   13.8   16.4   18.4   18.1   17.5   13.0    8.8    6.4    6.28    9.99   17.64   13.08   11.75
1959    4.0    6.8    9.6   11.9   16.2   18.2   20.1   20.2   18.8   15.4    9.2    7.5    5.71   12.59   19.53   14.46   13.20
1960    5.8    5.8    8.1   12.1   16.2   19.3   17.7   17.7   15.7   12.1    9.0    5.6    6.38   12.13   18.24   12.24   12.11
1961    5.4    8.6   11.2   12.1   14.1   17.4   17.5   17.9   17.5   13.0    8.1    4.5    6.47   12.45   17.61   12.84   12.28
1962    6.5    6.7    5.6   10.6   12.9   16.9   17.2   16.7   14.9   13.1    7.5    5.0    5.86    9.66   16.93   11.83   11.14
1963    0.8    1.9    8.4   10.8   13.3   17.6   17.8   16.5   15.6   13.0    9.3    5.0    2.59   10.83   17.29   12.63   10.87
1964    5.8    6.4    6.2   11.2   15.8   16.3   18.4   18.1   17.1   11.7    9.5    5.8    5.68   11.06   17.60   12.74   11.85
1965    5.1    5.3    7.9   11.1   14.0   17.0   16.2   17.6   14.7   13.4    6.4    6.1    5.39   11.01   16.92   11.55   11.28
1966    4.4    6.4    9.0    9.0   14.2   17.8   17.6   17.4   16.5   12.2    7.3    7.0    5.61   10.76   17.60   11.99   11.60
1967    6.1    7.3    9.0   10.6   12.7   17.4   19.0   18.2   16.0   12.3    8.0    6.3    6.79   10.76   18.22   12.10   11.94
1968    6.2    4.0    8.7   11.2   12.4   17.8   17.4   18.1   16.0   13.9    8.0    5.0    5.52   10.79   17.78   12.66   11.59
1969    6.8    2.9    5.6   10.7   13.5   17.5   19.5   18.8   16.3   15.2    7.1    5.3    4.99    9.93   18.64   12.87   11.66
1970    5.4    4.9    6.3    9.1   15.6   19.7   17.2   18.8   16.7   12.9    9.1    6.2    5.25   10.36   18.57   12.90   11.87
1971    6.4    7.0    7.7   10.6   15.0   15.0   19.9   18.0   17.6   14.1    8.6    8.4    6.52   11.11   17.65   13.44   12.39
1972    5.4    6.0    9.2   10.9   13.3   14.5   18.5   17.7   14.9   13.2    8.3    7.6    6.60   11.11   16.92   12.14   11.64
1973    6.3    6.5    9.5    9.8   13.9   18.0   18.4   19.3   16.7   11.7    8.3    7.0    6.79   11.09   18.57   12.22   12.14
1974    7.9    7.3    8.0   11.8   14.1   16.7   17.3   18.0   14.3    9.8    8.4    9.0    7.38   11.30   17.34   10.82   11.91
1975    8.1    6.8    6.9   10.7   13.0   18.4   19.9   21.6   15.8   12.6    8.6    7.3    8.02   10.21   19.95   12.33   12.51
1976    7.1    6.4    7.2   11.1   14.5   19.9   21.6   21.4   15.5   12.3    8.2    3.7    6.94   10.93   21.01   12.03   12.44
1977    4.5    6.3    8.9    9.6   13.9   15.4   18.9   18.1   15.2   13.8    7.9    7.5    4.77   10.83   17.51   12.34   11.72
1978    5.0    4.2    8.8    8.9   15.1   16.5   17.1   17.3   16.1   14.0   10.3    5.6    5.58   10.97   16.99   13.47   11.63
1979    2.6    3.2    6.4   10.0   12.5   16.9   18.6   17.3   16.0   13.4    8.8    7.0    3.82    9.61   17.59   12.74   11.09
1980    4.3    7.3    6.7   12.0   15.1   16.5   17.2   18.2   16.7   11.1    8.1    7.5    6.15   11.27   17.29   11.97   11.73
1981    6.7    5.4    9.3   10.9   14.3   15.8   18.0   19.2   17.2   10.2    9.5    2.9    6.59   11.50   17.68   12.26   11.64
1982    5.0    7.0    8.6   11.9   15.1   17.7   19.5   18.2   16.7   12.2    9.2    6.4    4.92   11.88   18.51   12.69   12.33
1983    8.1    4.1    8.6    9.4   12.5   16.8   22.3   20.7   15.5   12.5    9.3    7.9    6.24   10.15   19.96   12.45   12.36
1984    5.1    5.8    6.8   12.1   13.7   17.4   20.3   20.7   15.4   13.2    9.3    7.5    6.30   10.83   19.50   12.64   12.29
1985    3.2    5.1    7.2   10.9   13.7   15.5   18.5   16.7   16.6   13.3    6.2    7.6    5.23   10.60   16.92   12.05   11.25
1986    5.2    1.3    7.7    8.4   13.6   17.9   18.2   16.0   14.8   13.1    9.9    7.6    4.84    9.93   17.36   12.59   11.21
1987    3.1    6.1    6.5   12.9   13.3   15.1   18.4   18.1   16.1   11.8    8.2    7.3    5.57   10.87   17.23   12.02   11.43
1988    6.7    6.7    8.2   11.0   15.0   17.7   16.9   17.9   15.6   12.5    8.4    9.1    6.91   11.40   17.49   12.17   12.16
1989    8.6    8.0    9.6    9.2   16.3   17.9   21.5   19.2   16.8   13.7    8.7    6.3    8.59   11.75   19.57   13.08   13.04
1990    8.2    8.8   10.6   11.6   16.4   16.3   20.1   20.5   15.8   13.5    8.5    6.4    7.73   12.86   19.00   12.59   13.08
1991    5.3    4.4   10.0   10.7   13.9   14.8   20.0   20.1   17.7   12.0    8.6    7.2    5.38   11.55   18.34   12.77   12.11
1992    6.1    7.9    9.2   11.0   16.9   19.1   18.6   17.7   15.3   10.0    9.3    5.8    7.05   12.38   18.46   11.53   12.26
1993    7.7    7.0    9.1   11.7   14.2   17.6   17.5   17.4   14.9   10.5    6.9    6.6    6.84   11.67   17.49   10.79   11.79
1994    6.7    5.1    9.1   10.6   13.5   17.0   20.7   18.3   15.0   12.5   11.3    8.3    6.14   11.05   18.69   12.93   12.38
1995    6.6    7.9    7.8   11.7   14.8   17.6   21.5   22.8   16.2   15.1    9.8    4.1    7.56   11.41   20.64   13.71   13.01
1996    5.7    5.1    6.4   11.4   12.3   17.8   19.4   19.4   16.6   13.7    7.8    4.9    4.99   10.00   18.87   12.71   11.72
1997    4.8    8.4   10.7   12.3   14.9   16.5   19.9   21.6   16.8   13.0   10.3    7.8    5.97   12.63   19.38   13.35   13.11
1998    7.0    9.8    9.9   10.2   16.0   16.4   17.7   18.7   17.0   12.2    8.3    8.0    8.14   12.03   17.62   12.51   12.62
1999    7.2    7.1    9.5   12.2   15.5   16.7   20.6   19.0   18.2   13.2    9.7    6.5    7.43   12.41   18.77   13.68   12.98
2000    7.2    8.1    9.9   10.6   15.5   17.3   18.2   19.6   17.1   12.5    8.7    7.0    7.27   12.00   18.39   12.78   12.66
2001    5.3    6.7    7.4   10.4   16.3   16.9   19.4   19.3   15.7   15.0   10.0    6.3    6.32   11.38   18.57   13.57   12.43
2002    7.9    8.6   10.1   12.6   14.8   17.0   18.4   19.7   17.4   12.1   10.1    6.7    7.56   12.49   18.39   13.19   12.98
2003    6.4    6.8   11.3   13.6   14.8   19.1   20.4   21.3   18.0   12.1   10.4    7.3    6.65   13.22   20.26   13.46   13.49
2004    7.1    7.4    9.3   12.3   15.7   18.2   18.6   20.0   17.2   12.4    9.7    8.0    7.26   12.41   18.93   13.11   13.00
2005    8.1    6.4    9.6   11.9   14.4   18.5   19.4   19.3   17.8   14.6    9.0    7.1    7.54   11.96   19.09   13.81   13.05
2006    6.4    6.2    7.1   11.4   15.0   19.4   23.3   18.8   19.2   14.9   10.5    8.2    6.60   11.15   20.49   14.84   13.39
2007    8.7    8.1   10.1   15.2   14.8   17.7   18.0   18.5   16.5   13.9    9.9    7.4    8.34   13.36   18.09   13.44   13.27
2008    8.1    8.9    8.5   11.1   16.8   17.3   19.4   18.5   16.1   12.2    8.9    6.0    8.11   12.15   18.41   12.40   12.67
2009    5.7    6.4    9.9   13.3   15.3   18.5   19.2   19.3   17.0   13.8   10.0    5.1    6.04   12.84   18.99   13.59   12.82
2010    3.6    4.8    8.9   12.7   14.4   19.1   19.6   18.2   16.6   12.9    7.2    2.4    4.49   12.01   18.96   12.21   11.73
2011    5.8    8.1    9.8   15.7   15.2   17.2   18.7   18.0   17.5   14.5   11.6    7.7    5.33   13.54   17.97   14.56   13.33
2012    7.5    7.2   12.1   10.2   15.0   15.9   17.9   19.4   15.9   11.6    8.7    6.7    7.43   12.45   17.74   12.05   12.35
2013    5.6    5.7    5.1   10.4   13.8   17.2   22.2   19.8   16.6   14.1    8.6    8.7    6.01    9.77   19.75   13.12   12.36
2014    7.4    7.8   10.5   13.2   15.2   18.6   21.2   18.0   18.2   14.3   10.4    7.4    7.97   12.96   19.28   14.28   13.54
2015    6.6    6.6    9.1   12.9   13.5   17.3   18.6   18.8   16.1   13.6   11.0   10.7    6.86   11.83   18.21   13.59   12.93
2016    7.3    7.0    8.9   10.6   15.9   17.8   19.3   19.7   18.3   13.4    8.1    8.9    8.36   11.80   18.97   13.25   12.96
2017    6.7    7.9   10.9   12.2   16.8   18.4   19.3   18.6   16.1   14.3    8.8    7.0    7.86   13.32   18.77   13.06   13.12
2018    6.7    5.3    6.9   12.0   17.2   19.9   22.6   19.3   16.4   13.3   10.1    8.4    6.35   12.07   20.62   13.25   13.24
2019    6.2   10.0   10.1   12.9   14.6   17.3   20.7   19.9   17.1   12.2    7.9    7.9    8.15   12.55   19.36   12.42   13.10
2020    8.2    8.0    9.3   14.2   16.7   18.3   18.3   19.9   17.1   12.4                  8.05   13.38   18.82                
