age worktype education marrital relationship gender capitalgain workhours income
21 Private Some-college Never-married Own-child . 0 24 <=50K
22 Private HS-grad Never-married Not-in-family Male 14084 60 >50K
38 Private 9th Married-spouse-absent Not-in-family Male 0 54 <=50K
21 Private Some-college Never-married Own-child Female 0 40 <=50K
63 Private HS-grad Married-civ-spouse Husband Male 0 40 <=50K
34 Local-gov Bachelors Married-civ-spouse Husband Male 3103 50 >50K
42 Self-emp-inc HS-grad Married-civ-spouse Husband Male 5178 50 >50K
33 Private HS-grad Married-civ-spouse Husband Male 0 40 <=50K
30 Private Bachelors . Not-in-family Female 0 50 <=50K
39 Private Some-college Divorced Not-in-family . 0 40 <=50K
26 . Masters Never-married Not-in-family Female 0 40 <=50K
33 Private HS-grad Never-married Own-child Female 0 40 <=50K
47 Local-gov HS-grad Divorced Not-in-family Female 0 40 <=50K
41 Private Bachelors Never-married . Female 0 40 <=50K
41 Self-emp-inc Assoc-acdm Married-civ-spouse Husband Male . 60 >50K
19 Private . . Own-child Male 0 20 .
46 Private HS-grad Separated . Male 0 40 <=50K
43 Private HS-grad Married-civ-spouse Husband Male 0 48 .
55 Private Some-college Married-civ-spouse Husband Male 15024 45 >50K
46 Private . Married-civ-spouse Husband Male 0 40 <=50K
30 Private HS-grad Married-civ-spouse Husband Male 0 40 <=50K
21 Private Some-college . Not-in-family Female 0 40 .
46 Private Some-college Married-civ-spouse Husband Male 0 40 <=50K
41 Private HS-grad Married-civ-spouse Husband Male 0 50 <=50K
69 Self-emp-inc HS-grad Married-civ-spouse Husband Male 0 30 <=50K
50 Private HS-grad Married-civ-spouse Husband Male 0 40 <=50K
20 Private Some-college Never-married Not-in-family Female 0 40 <=50K
45 Self-emp-inc . Married-civ-spouse Husband Male 0 50 .
23 Private Bachelors . Not-in-family . 0 40 <=50K
24 Private Some-college Separated Not-in-family Male 0 40 <=50K
44 Self-emp-inc HS-grad Married-civ-spouse Husband Male 99999 50 >50K
31 Self-emp-not-inc S. Married-civ-spouse Husband Male 0 50 <=50K
43 Private HS-grad Separated Not-in-family Female 0 44 <=50K
20 Federal-gov 11th Never-married . Female 0 10 <=50K
55 Private HS-grad Married-civ-spouse Husband Male 0 56 .
24 Federal-gov Some-college Never-married Not-in-family Male 0 40 <=50K
59 . Bachelors Never-married Not-in-family Female 0 25 <=50K
49 Federal-gov 7th-8th Never-married Not-in-family Male 0 20 <=50K
33 Private Masters . Wife Female 5178 10 >50K
59 Federal-gov Bachelors . Not-in-family Male 0 40 .
34 Private Masters Never-married . Male 0 40 <=50K
20 Private HS-grad Never-married Own-child Male 0 40 <=50K
25 Private Bachelors Never-married Own-child Female 0 40 <=50K
49 . 10th Married-civ-spouse Husband Male 0 40 <=50K
59 Private HS-grad Married-civ-spouse Husband Male 0 40 >50K
20 Private HS-grad Never-married Not-in-family Female 0 40 <=50K
33 Private Some-college Never-married Unmarried Female 0 35 <=50K
22 Private Some-college Never-married Own-child Male 0 39 <=50K
58 Self-emp-not-inc 9th . Not-in-family Female 0 40 <=50K
52 Local-gov HS-grad . Unmarried Female 0 28 <=50K
36 Private 10th Separated Not-in-family Female 0 40 <=50K
41 . HS-grad . Husband Male 0 40 <=50K
28 Private HS-grad Never-married . Male 2597 40 <=50K
19 Private Some-college Never-married Own-child Male 0 16 <=50K
18 Private HS-grad . Not-in-family Female 0 28 <=50K
18 Private HS-grad Never-married Own-child Female 0 48 <=50K
28 Private . Married-civ-spouse . Male 0 40 <=50K
29 . Assoc-voc Married-civ-spouse Husband Male 0 40 >50K
40 Private Some-college Married-civ-spouse Husband Male 0 40 <=50K
26 Private HS-grad Never-married . Male 0 40 <=50K
46 Private HS-grad Married-civ-spouse Husband Male 0 40 <=50K
23 Private 11th Never-married Not-in-family Female 0 24 <=50K
44 Private HS-grad Married-spouse-absent Unmarried Female 0 40 <=50K
43 Private . Divorced Unmarried Female 0 40 >50K
31 Local-gov Bachelors Divorced Unmarried Female 0 60 <=50K
18 Private Some-college Never-married Own-child Female 0 25 <=50K
19 Private . Never-married Own-child Male 0 30 <=50K
41 Private Some-college Divorced Not-in-family Female 0 40 <=50K
41 Private HS-grad Divorced Unmarried Female 0 40 <=50K
69 Private HS-grad Divorced Not-in-family Female 0 25 <=50K
48 Federal-gov Doctorate Married-civ-spouse Wife Female 0 40 >50K
28 Private HS-grad Never-married Own-child Male 0 40 <=50K
27 Self-emp-not-inc HS-grad Married-civ-spouse Husband Male 0 60 >50K
41 Private Masters . Husband Male 0 50 >50K
41 Private Some-college . Husband Male 0 40 <=50K
24 Private HS-grad Never-married Unmarried Female 0 40 <=50K
42 Self-emp-inc Doctorate Married-civ-spouse Husband Male 0 41 >50K
57 Private HS-grad Married-civ-spouse Husband Male 0 48 <=50K
30 Private Assoc-acdm Never-married Not-in-family Female 0 40 <=50K
36 Private HS-grad Married-civ-spouse Husband Male 0 60 >50K
49 Private . Married-civ-spouse Husband Male 0 40 <=50K
33 Private HS-grad Married-civ-spouse Wife Female 0 35 <=50K
23 Private 10th Married-civ-spouse Husband Male 0 40 .
46 Private Masters Married-civ-spouse Husband Male 0 40 <=50K
